placename,alma_id,title,date,start_year,end_year,ie_id,image_id
Foster,9918026743607636,"[Elevated view of township, Foster, Vic.?] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1388597,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1388597:FL20761949.jpg
Foster,9918026723607636,"[Looking along dried riverbed towards farmland and house, Foster, Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1313599,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1313599:FL20760415.jpg
Foster,9918026713607636,"[Elevated view of large grassed area, possibly playing field, with town in background, Foster, Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1280926,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1280926:FL20761083.jpg
Foster,9918029413607636,"[Bridge over Stockyard Creek, showing Royal Mail Hotel, Foster, Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1369650,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1369650:FL20761623.jpg
Foster,9939659835807636,"Beach and jetty, possibly Yanakie Landing, Foster, Vic.?",[ca. 1880 - ca. 1910],1880,1910,IE1394074,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1394074:FL20761787.jpg
Foster,9939649049107636,"Beach and jetty, possibly Yanakie Landing, Foster, Vic.?",[ca. 1880 - ca. 1910],1880,1910,IE1514792,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1514792:FL20763249.jpg
Foster,9918028853607636,[Unidentified little boy in garden] [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1280275,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1280275:FL20760080.jpg
Foster,9918026643607636,"[Paddock with sparse dry grass, Foster, Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1281735,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1281735:FL20762543.jpg
Foster,9918026613607636,Foster from old Mechanics Institute [Vic.] [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1388600,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1388600:FL20761991.jpg
Foster,9918026603607636,[Unidentified man wearing ceremonial stole] [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1282697,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1282697:FL20759577.jpg
Foster,9918026573607636,[Family group in garden] [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1313303,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1313303:FL20759491.jpg
Foster,9917062383607636,Foster Post Office [picture],[1917-1930],1917,1930,IE510122,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE510122:FL21226038.jpg
Foster,9939668912807636,"On Mirboo Rd Foster, Vic.",[ca. 1880 - ca. 1910],1880,1910,IE1458530,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1458530:FL20760923.jpg
Foster,9939655354107636,"On Mirboo Rd Foster, Vic.",[ca. 1880 - ca. 1910],1880,1910,IE1394065,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1394065:FL20761699.jpg
Foster,9918029443607636,"Stockyard Creek, [Foster, Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1345428,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1345428:FL20761397.jpg
Foster,9918026593607636,"Bank of Australasia, Foster [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1288533,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1288533:FL20762579.jpg
Foster,9939661015107636,Man in sailor's uniform with children,[ca. 1880 - ca. 1910],1880,1910,IE1404717,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1404717:FL20761583.jpg
Foster,9939658323207636,Man in sailor's uniform with children,[ca. 1880 - ca. 1910],1880,1910,IE1287450,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1287450:FL20761259.jpg
Foster,9918034093607636,Mammoth tree at Foster Gippsland [picture] / J. C. Flynn.,1906.,1906,1906,IE187777,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE187777:FL21470219.jpg
Foster,9918029463607636,[Looking across grass towards houses and picket fence] [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1315237,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1315237:FL20761483.jpg
Foster,9918029423607636,"Foster from West, [Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1418508,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1418508:FL20760547.jpg
Foster,9918029313607636,"Post and Telegraph Office, Foster [Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1379825,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1379825:FL20762387.jpg
Foster,9918029253607636,"[View across Stockyard Creek Foster with old Post Office, Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1394224,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1394224:FL20762419.jpg
Foster,9918029233607636,"Old Post Office, Foster [Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1394131,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1394131:FL20761997.jpg
Foster,9918028863607636,[Unidentified woman] [picture].,[ca. 1880 - ca. 1910],1880,1910,IE1395736,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1395736:FL20759273.jpg
Foster,9918026633607636,"[Weatherboard farmhouse, Foster, Vic.] [picture].",[ca. 1880 - ca. 1910],1880,1910,IE1313549,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1313549:FL20760199.jpg
