alma_id,title,date,publisher,format,genre,lds03,placename,place_id,feature_type_code,longitude,latitude,trove_note,trove_url,id
9915205263607636,The Bendigo miner.,2007-2012,Bendigo Vic. : Regional Publishers Western Victoria Pty Ltd.,v. ; 41 cm.,Newspapers,Australia--Victoria--Bendigo | Australia--Victoria--Castlemaine | Australia--Victoria--Maldon,Maldon,101936.0,LOCB,144.0662501,-36.9928709,,,a9915205263607636
9914346993607636,"Free press (Kilmore, Vic. : Romsey Lancefield ed.) | The free press.",2006-2007,"Kilmore, Vic. : Kilmore Newspapers Pty Ltd",v. ; 41 cm.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Lancefield | Australia--Victoria--Kilmore,Romsey,102646.0,LOCB,144.7205608,-37.3549161,,,a9914346993607636
9914346993607636,"Free press (Kilmore, Vic. : Romsey Lancefield ed.) | The free press.",2006-2007,"Kilmore, Vic. : Kilmore Newspapers Pty Ltd",v. ; 41 cm.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Lancefield | Australia--Victoria--Kilmore,Lancefield,101785.0,LOCB,144.7164184,-37.259374,,,a9914346993607636
9914346993607636,"Free press (Kilmore, Vic. : Romsey Lancefield ed.) | The free press.",2006-2007,"Kilmore, Vic. : Kilmore Newspapers Pty Ltd",v. ; 41 cm.,Newspapers,Australia--Victoria--Romsey | Australia--Victoria--Lancefield | Australia--Victoria--Kilmore,Kilmore,101666.0,LOCB,144.9590095,-37.2984875,,,a9914346993607636
9914343883607636,"Free press (Kilmore, Vic. : Macedon Ranges ed.) | The free press.",2007-2012,"Kilmore, Vic. : Kilmore Newspapers Pty Ltd",v. ; 41 cm.,Newspapers,Australia--Victoria--Macedon Ranges | Australia--Victoria--Kilmore | Australia--Victoria--Kyneton,Macedon Ranges Shire,15803.0,LGA,144.6134782,-37.3448479,,,a9914343883607636
9914343883607636,"Free press (Kilmore, Vic. : Macedon Ranges ed.) | The free press.",2007-2012,"Kilmore, Vic. : Kilmore Newspapers Pty Ltd",v. ; 41 cm.,Newspapers,Australia--Victoria--Macedon Ranges | Australia--Victoria--Kilmore | Australia--Victoria--Kyneton,Kilmore,101666.0,LOCB,144.9590095,-37.2984875,,,a9914343883607636
9914343883607636,"Free press (Kilmore, Vic. : Macedon Ranges ed.) | The free press.",2007-2012,"Kilmore, Vic. : Kilmore Newspapers Pty Ltd",v. ; 41 cm.,Newspapers,Australia--Victoria--Macedon Ranges | Australia--Victoria--Kilmore | Australia--Victoria--Kyneton,Kyneton,101736.0,LOCB,144.4478082,-37.2232917,,,a9914343883607636
9913952233607636,"Moreland leader (Northcote, Vic. : Northern ed.) | Moreland leader.",2007-2016,Northcote Vic. : Leader Associated Newspapers,v. ; 41 cm.,Newspapers,Australia--Victoria--Northcote | Australia--Victoria--Moreland | Australia--Victoria--Coburg,Northcote,102381.0,LOCB,144.9993878,-37.7722595,,,a9913952233607636
9913952233607636,"Moreland leader (Northcote, Vic. : Northern ed.) | Moreland leader.",2007-2016,Northcote Vic. : Leader Associated Newspapers,v. ; 41 cm.,Newspapers,Australia--Victoria--Northcote | Australia--Victoria--Moreland | Australia--Victoria--Coburg,Moreland,17681.0,NBHD,144.9579226,-37.7515146,,,a9913952233607636
9913952233607636,"Moreland leader (Northcote, Vic. : Northern ed.) | Moreland leader.",2007-2016,Northcote Vic. : Leader Associated Newspapers,v. ; 41 cm.,Newspapers,Australia--Victoria--Northcote | Australia--Victoria--Moreland | Australia--Victoria--Coburg,Coburg,100791.0,LOCB,144.964502,-37.7438163,,,a9913952233607636
