mms,title,lds19,publisher,format,genre,lds03,trove_note,trove_url,
999806213607636,The Portland guardian and Normanby general advertiser.,1842-1876,"Portland, Vic. : Thomas Wilkinson",v. ; 58 cm.,Newspapers,Australia--Victoria--Portland | Australia--Victoria--Normanby,,http://nla.gov.au/nla.news-title110,Y
999753303607636,Bairnsdale advertiser and East Gippsland stock and station journal.,1946-1994,"Bairnsdale, Vic. : Fawkner Cameron Yeates for James Yeates and Sons Pty. Ltd.",v. : ill. ; 56 cm.,Newspapers,Australia--Victoria--East Gippsland | Australia--Victoria--Bairnsdale,,http://nla.gov.au/nla.news-title1832,Y
999739983607636,Portland gazette and Belfast advertiser.,1844-1849,Portland Vic. : Thomas Hamilton Osborne,v. ; 49 cm.,Newspapers,Australia--Victoria--Portland | Australia--Victoria--Port Fairy,,http://nla.gov.au/nla.news-title1901,Y
999739973607636,The Portland mercury and Port Fairy register.,1843-1844,"Portland, Vic. : Robert Fisher",,Newspapers,Australia--Victoria--Portland | Australia--Victoria--Port Fairy,,http://nla.gov.au/nla.news-title1900,Y
999736583607636,The Bendigo independent.,1862-1918,"Sandhurst, Vic. : Charles MacKenzie",v. ; 49-64 cm.,Newspapers,Australia--Victoria--Bendigo | Australia--Victoria--Sandhurst,,http://nla.gov.au/nla.news-title806,Y
999736493607636,Myrtleford times and Ovens Valley advertiser (1930) | The Myrtleford times and Ovens Valley advertiser.,1930-1987,"Myrtleford, Vic. : Myrtleford Times and Ovens Valley Advertiser",v. ; 45-60 cm.,,Australia--Victoria--Myrtleford | Australia--Victoria--Ovens Valley,,http://nla.gov.au/nla.news-title1828,Y
999713183607636,The Bairnsdale liberal news and North Gippsland district advertiser.,1879-1882,"Bairnsdale, Vic. : George Vogt.",v.,,Australia--Victoria--Bairnsdale | Australia--Victoria--North Gippsland,,http://nla.gov.au/nla.news-title1833,Y
999705963607636,The Evelyn observer and Bourke East record.,1902-1917,"Kangaroo Ground, Vic : Robert Charles Harris",v.,Newspapers,Australia--Victoria--Kangaroo Ground | Australia--Victoria--Evelyn,,http://nla.gov.au/nla.news-title146,Y
9938418073607636,Dandenong journal (Microfiche) | The Dandenong journal.,1927-1972,"Dandenong, Vic. : Dandenong Regional Library",microfiches : negative ; 11 x 16 cm.,Newspapers,Australia--Victoria--Dandenong,,http://nla.gov.au/nla.news-title901,Y
9932881813607636,"The express, Bacchus Marsh",1943-1981,"Bacchus Marsh, Vic. : Crisp & Sons",volumes : illustrations ; 42-45 cm,Newspapers,Australia--Victoria--Bacchus Marsh,,http://nla.gov.au/nla.news-title1703,Y
9929640853607636,"The express, Bacchus Marsh",1943-1981,"Bacchus Marsh, Vic. : Crisp & Sons",volumes : illustrations ; 42-45 cm,Newspapers,Australia--Victoria--Bacchus Marsh,,http://nla.gov.au/nla.news-title1703,Y
9922449813607636,"Broadford courier (Broadford, Vic. : 1916) | The Broadford courier [microform]",1916-19uu,"Broadford, Vic. : Printed and published by Wm. McDonald",v.,Newspapers,Australia--Victoria--Broadford,,http://nla.gov.au/nla.news-title131,Y
9921149663607636,"Sunbury news (Sunbury, Vic. : 1892) | The Sunbury news.",1892-1892,Sunbury Vic. : John Boardman & Sons,v. ; 48cm.,Newspapers,Australia--Victoria--Sunbury,,http://nla.gov.au/nla.news-title212,Y
9920457033607636,"Healesville guardian (Healesville, Vic.) | The Healesville guardian.",1893-1898,Healesville Vic. : D. Munro,v.,Newspapers,Australia--Victoria--Healesville,,http://nla.gov.au/nla.news-title140,Y
